67198	71443	68564	65787	68721	83197	90720	99154.643	101008.419	124933.852	128113.545	112714.771	126555.249	131818.431	137814.675	137658.272	148479.77	157217.992	173452.405
63030	65658	59307	60947	63502	81554	84362	86495.684	88424.672	116612.446	120684.707	106441.721	119833.051	117339.01	126118.856	131101.552	142040.797	150627.675	155908.901
60630	64120	58939	57431	67640	81055	86894	88446.109	99611.966	117744.889	122286.648	103953.416	110168.399	120628.909	130189.084	130751.393	134357.225	149859.307	153246.28
60134	60030	63379	61042	71731	79839	84058	91703.838	100907.549	121627.889	125055.557	115101.852	118417.59	127725.913	134716.973	134852.496	146469.671	151855.9	157975.063
65652	66321	62631	58313	73766	83037	87965	96060.257	100095.374	121566.523	124640.307	117116.017	120129.725	128287.902	133986.252	132435.913	145669.811	155996.141	150087.96
64695	61258	64560	58477	75638	84932	89482	110924.228	104902.84	127017.267	123377.506	119210.031	126590.753	131858.535	136988.134	139910.819	152689.744	162518.959	159501.787
63647	62505	63064	62056	76834	81218	86867	93271.29	107378.98	126696.691	113190.374	116741.939	125564.02	126653.07	138711.344	140483.822	146237.74	166039.406	170111.397
68095	60691	62378	59727	79204	82187	88725	87026.892	113575.323	125147.326	110758.559	121064.631	130322.604	127849.993	144306.235	142222.029	154621.673	171294.908	173917.871
67914	61396	65745	65246	83444	83519	90571	96957.196	117918.035	130010.479	109504.31	124127.286	129705.599	132127.974	144285.718	149183.936	159304.274	178140.662	178370.314
67360	61423	64885	67701	85101	84321	94932	97881.838	119326.911	131071.333	100715.753	128016.302	131731.415	132012.379	142468.542	150712.582	159331.561	179374.635	177245.069
71492	64362	65885	68305	84976	91374	98457	97757.759	122670.218	134359.466	105982.962	124861.785	131416.265	138773.583	144439.09	151910.659	164925.141	172626.231	180602.202
66602	63537	66374	68537	84207	85984	93074	98478.473	121635.191	134118.897	103348.832	120771.923	130684.794	137896.675	140673.755	143433.648	159919.699	171426.877	182921.123
